total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,phase_convergence_step,mag_convergence_step,reprojection_data_error,recovery_err,iteraciones
9293765.926685356,1249875.0110133616,1.9800303547026068,744081.9741693074,0.00010625698695180521,0.2400463938732521,0.9999065129764734,0.9974709146811697,5
9924633.091507172,1535806.3746805487,1.9800228320849143,744215.5093876664,0.0002150879620734681,0.5476329484112737,0.9998884090490124,0.9973112541418472,10
11187271.517397467,2148552.7692453843,1.9800471195491582,744398.862940239,0.00034441395374083475,1.0490395451515597,0.9998472809060645,0.9969866023063932,15
13583245.661426464,3454630.464985637,1.9800467988831754,744716.3509237106,0.0004724122239873219,1.978410063690129,0.9997559075844117,0.99636655485123,20
18341587.177360553,6475229.351186845,1.9801108506351577,745187.630036925,0.0006343557633229375,3.8806802856360165,0.9995326136181454,0.9951600117823393,25
28291332.170276627,14385909.095655411,1.9801705040356032,746329.0710891855,0.000906497458176757,8.10893391845372,0.9988973007541656,0.9926928913058666,30
49650190.33435572,38326299.06674747,1.9801965834286022,747712.075251638,0.0013430398709689145,18.064635311852726,0.9967383048510766,0.9874029891111599,35
97083854.55025706,120453581.86545286,1.98019595324221,749639.2268490664,0.0017844095483389804,39.977941011453254,0.9883188230184067,0.9768151478859909,40
190945286.23805326,416911237.17697966,1.980333601259911,751437.0941740109,0.0020831474292491827,67.4259065638148,0.9569003871246206,0.9647483569552444,45
307149812.3758918,1250045798.930779,1.9799983520046056,752348.1156036301,0.0023779696129118777,73.57729180066701,0.8768672077987424,0.965084867127775,50
406768719.9357014,2917714038.3275537,1.979995750684874,752899.6376876407,0.0026009995637856923,71.26519861891656,0.7485253714831654,0.9709497684038492,55
475013527.32528174,5321769643.905144,1.9800609744093678,753815.6294912014,0.002721496003792742,58.57859723202805,0.6012244633497446,0.9745857910571847,60
505718650.55373424,7843353347.71065,1.9801714335083362,755839.3543453855,0.002691657683828448,51.43995210552316,0.47507567821667135,0.971539364042064,65
507986813.6647371,10160681437.968151,1.9801176669275928,757709.4116912275,0.0025348555446677453,47.29034284681758,0.37476817363166937,0.9646907943827305,70
490400945.6880418,12067569150.446114,1.979916565196786,759204.0702745193,0.002236022747784994,42.172392632138155,0.29577602442468415,0.9561352782986349,75
464129480.75054175,13439284758.690372,1.9799072249311862,760576.8639672725,0.001954023648855695,35.095516487685,0.24122473772379627,0.9488174582637042,80
440840071.8250561,14332543101.449987,1.979804020292697,762047.0097659511,0.0017658000186584377,27.68146935191029,0.20660140031399138,0.9437134765419743,85
424685058.68023723,14881347147.219318,1.9797484417996916,763324.3694587084,0.0016298082587389332,22.416471778713436,0.18549621031184227,0.939652560886573,90
415669788.76154006,15232608442.5685,1.9797996087840568,764441.3192485627,0.0015565469704453294,19.053292639205853,0.17273125001662284,0.9363153645353505,95
410873111.82790196,15467406305.2612,1.9796730663636866,765672.7501311176,0.0015127322776987756,16.66715166687549,0.1647977269429977,0.9335144145260394,100
