total_variation_magnitude,sharpness_score_laplacian,phase_global_std,total_variation_phase,phase_convergence_step,mag_convergence_step,reprojection_data_error,recovery_err,iteraciones
605123238.9435164,10710617335.866974,2.0500321677433297,664208.7122830783,0.0017688880794027295,79.14273089771737,0.6786313540635334,0.9714663810827946,50
493458665.77983487,32328174975.282265,2.0493303614286575,672831.8869478448,0.0008016998483133754,8.02454710450475,0.09261452764383181,0.9368501926026884,100
588733678.7277126,32410219150.672607,2.04865646218289,679826.6794434858,0.0008098544373892634,8.173744316088934,0.08656466209205808,0.9186299935904351,150
695341955.7493023,32427326460.49962,2.047826585388348,686733.942773506,0.0006524080172462596,7.052682406454182,0.07899717056132609,0.9037489187074944,200
776279641.1035182,32438308342.477478,2.047411475237865,690446.8811085694,0.0004801842936369825,5.869893423582082,0.07209417839806476,0.8942468550433925,250
841866814.9711914,32442651579.464943,2.0470934177764946,692404.8714666213,0.00036651751261894503,5.045578388535054,0.06650160061197127,0.8872774031868926,300
899641315.0448096,32444038386.786972,2.0467008221677205,693306.3867025581,0.0002932262981197777,4.454901037921622,0.062063167041215936,0.8814647946349106,350
951562711.7697849,32445131051.42289,2.0466091178517396,693547.8403612622,0.00025213145838386337,4.021819693189273,0.05841105712874155,0.8763503453019416,400
998196675.8646988,32446174250.64701,2.046538513947885,693751.7742655776,0.00022186196502761355,3.6849950919252166,0.05533977292100586,0.8716942475010404,450
1040773042.5445347,32447198968.77147,2.0466005594827257,693903.0260652159,0.00019825217039507972,3.372446614549391,0.052703803931087666,0.8674278802575164,500
1079067888.261232,32448090090.20639,2.046783165664691,693896.8858339943,0.000174976525970987,3.081440658190732,0.05044430410183859,0.8635527071621018,550
1113930798.8522425,32448923400.142403,2.0468129507848727,693701.7018279852,0.00016223006902134937,2.82714005958564,0.04849594249572295,0.8600305797093725,600
1146330117.4538536,32449744157.56173,2.046820419099659,693341.1408142654,0.0001551936459907289,2.6250367632191702,0.04677596220972544,0.8568222160016726,650
1176696955.9431374,32450638475.50203,2.04689154063692,692865.1093324153,0.00014927005290594434,2.471142212085698,0.04523872733877499,0.8538844198613901,700
1205355346.1567984,32451713115.235687,2.04695216650174,692675.7250633907,0.00014139198961652673,2.3434173762184902,0.04384535369292737,0.8511927305547837,750
1232453686.6836228,32452944991.724213,2.0470215571804506,692612.2000492909,0.0001350934198945786,2.2257022705778486,0.04255644483930941,0.8487076527278721,800
1258122868.824082,32454284885.58971,2.046998082001071,692120.8727252673,0.0001228897070640298,2.116445922663953,0.04136251436467327,0.8464122125567226,850
1282264053.7407496,32455661492.551167,2.0470240099511665,691772.2467125824,0.00011676502660666847,2.011912814761629,0.04025988283592983,0.844299863956765,900
1305059184.2090316,32457044625.650757,2.0470230437525676,691531.4929781535,0.00011048962771244266,1.9175785319276875,0.03924171199437553,0.8423492709630704,950
1326580449.3406692,32458387567.396824,2.04697012672896,691111.1748499605,0.00010130107018983121,1.833936278479125,0.03829778224636071,0.8405235633520667,1000
