Iteracion,led_x,led_y,Diferencia,Data,Simuladas
1,12,12,914460034.6964405,914496811.2204304,36776.543
1,12,14,1305400526.9798286,1305748518.911716,347991.78
1,12,16,1371022230.4691262,1404602268.4141164,34917812.0
1,12,18,1121833984.6337113,1122315762.9722438,486709.22
1,12,20,864430501.9665627,864465986.8574182,35484.887
1,14,12,1516750445.3096766,1517270428.7001956,519982.9
1,14,14,3380620756.472577,3387258553.3384356,6883549.0
1,14,16,6096869268.182852,6842847302.501243,918677100.0
1,14,18,3876973311.7169886,3886576448.7173085,9648406.0
1,14,20,1843467989.719798,1844066746.5605443,598757.0
1,16,12,2050034650.4681287,2073034569.999196,27498074.0
1,16,14,8353643981.058518,8854521968.970114,598886500.0
1,16,16,111523328970.6986,864690601229.2925,860192000000.0
1,16,18,8700821723.22844,9296987611.669428,707779600.0
1,16,20,2302985554.8924365,2330137935.5141726,28751356.0
1,18,12,1794689738.1801405,1795101296.0221753,411557.75
1,18,14,3934025629.8588524,3938233319.1243014,4207841.0
1,18,16,5738728360.254225,6400385075.170394,764930100.0
1,18,18,3369589298.611766,3375908607.32886,6674704.5
1,18,20,1616980716.2253423,1617402395.2803547,421874.84
1,20,12,860077577.813728,860110416.296953,32838.465
1,20,14,1011210643.1883211,1011592870.3051357,383002.53
1,20,16,1379924973.2284722,1406663084.4136431,32126692.0
1,20,18,1173976155.4439182,1174464444.3436067,490053.56
1,20,20,890817836.6297705,890855032.4823587,37195.863
2,12,12,914460034.4777354,914496811.2204304,36776.8
2,12,14,1305400524.3132904,1305748518.911716,347994.3
2,12,16,1371021351.3945203,1404602268.4141164,34918936.0
2,12,18,1121833971.3354185,1122315762.9722438,486722.47
2,12,20,864430501.4579147,864465986.8574182,35485.383
2,14,12,1516750429.5039823,1517270428.7001956,519998.7
2,14,14,3380620561.1800694,3387258553.3384356,6883723.5
2,14,16,6097385854.215092,6842847302.501243,917537860.0
2,14,18,3877042023.580933,3886576448.7173085,9579011.0
2,14,20,1843467966.4238741,1844066746.5605443,598780.44
2,16,12,2050033127.1522856,2073034569.999196,27499854.0
2,16,14,8354129989.275838,8854521968.970114,598377800.0
2,16,16,110892420714.6986,864690601229.2925,860202860000.0
2,16,18,8700887684.00238,9296987611.669428,707325000.0
2,16,20,2302981174.41338,2330137935.5141726,28755986.0
2,18,12,1794689737.7053435,1795101296.0221753,411558.25
2,18,14,3934025277.533608,3938233319.1243014,4208196.5
2,18,16,5739237422.37882,6400385075.170394,763904830.0
2,18,18,3369589127.4031997,3375908607.32886,6674853.5
2,18,20,1616980705.6449704,1617402395.2803547,421885.38
2,20,12,860077577.6411867,860110416.296953,32838.65
2,20,14,1011210641.1073966,1011592870.3051357,383004.44
2,20,16,1379924019.1270134,1406663084.4136431,32127876.0
2,20,18,1173976156.4188414,1174464444.3436067,490052.97
2,20,20,890817836.4707564,890855032.4823587,37196.043
3,12,12,914460034.0403116,914496811.2204304,36777.17
3,12,14,1305400518.9791985,1305748518.911716,348000.16
3,12,16,1371019592.8490872,1404602268.4141164,34921116.0
3,12,18,1121833944.6608267,1122315762.9722438,486749.0
3,12,20,864430500.4450699,864465986.8574182,35486.348
3,14,12,1516750397.7740324,1517270428.7001956,520031.44
3,14,14,3380620169.7110686,3387258553.3384356,6884090.5
3,14,16,6098398183.22356,6842847302.501243,915492100.0
3,14,18,3877172718.4833527,3886576448.7173085,9447086.0
3,14,20,1843467919.6339262,1844066746.5605443,598827.7
3,16,12,2050030079.1920667,2073034569.999196,27503514.0
3,16,14,8354976962.303319,8854521968.970114,597518850.0
3,16,16,109640470916.5667,864690601229.2925,860229100000.0
3,16,18,8700898316.43715,9296987611.669428,706593860.0
3,16,20,2302972416.2483473,2330137935.5141726,28765380.0
3,18,12,1794689736.7438314,1795101296.0221753,411559.16
3,18,14,3934024571.5166187,3938233319.1243014,4208901.5
3,18,16,5740104515.111258,6400385075.170394,762066100.0
3,18,18,3369588785.3133664,3375908607.32886,6675189.5
3,18,20,1616980684.4914453,1617402395.2803547,421906.53
3,20,12,860077577.2854936,860110416.296953,32839.004
3,20,14,1011210636.911242,1011592870.3051357,383009.28
3,20,16,1379922110.5341182,1406663084.4136431,32130232.0
3,20,18,1173976158.2086105,1174464444.3436067,490052.4
3,20,20,890817836.1495886,890855032.4823587,37196.312
4,12,12,914460033.3804082,914496811.2204304,36777.844
4,12,14,1305400510.9715047,1305748518.911716,348008.1
4,12,16,1371016949.10715,1404602268.4141164,34924460.0
4,12,18,1121833904.5051913,1122315762.9722438,486788.44
4,12,20,864430498.9323343,864465986.8574182,35487.855
4,14,12,1516750349.7540274,1517270428.7001956,520080.0
4,14,14,3380619580.3757024,3387258553.3384356,6884630.0
4,14,16,6099637645.851648,6842847302.501243,912993600.0
4,14,18,3877353583.465906,3886576448.7173085,9266068.0
4,14,20,1843467848.743643,1844066746.5605443,598897.56
4,16,12,2050025502.6162539,2073034569.999196,27508940.0
4,16,14,8355942952.479919,8854521968.970114,596617800.0
4,16,16,107789033060.56667,864690601229.2925,860274160000.0
4,16,18,8700586966.985294,9296987611.669428,705921200.0
4,16,20,2302959262.8232884,2330137935.5141726,28779392.0
4,18,12,1794689735.26903,1795101296.0221753,411560.34
4,18,14,3934023506.7945824,3938233319.1243014,4209968.0
4,18,16,5741178257.362372,6400385075.170394,759815300.0
4,18,18,3369588273.14689,3375908607.32886,6675678.5
4,18,20,1616980652.6531858,1617402395.2803547,421938.2
4,20,12,860077576.7639433,860110416.296953,32839.51
4,20,14,1011210630.642657,1011592870.3051357,383015.97
4,20,16,1379919250.394642,1406663084.4136431,32133770.0
4,20,18,1173976160.5526474,1174464444.3436067,490052.1
4,20,20,890817835.6724085,890855032.4823587,37196.766
5,12,12,914460032.5090399,914496811.2204304,36778.688
5,12,14,1305400500.177959,1305748518.911716,348018.34
5,12,16,1371013411.7059233,1404602268.4141164,34928916.0
5,12,18,1121833850.7303784,1122315762.9722438,486841.16
5,12,20,864430496.9207125,864465986.8574182,35489.938
5,14,12,1516750284.8227735,1517270428.7001956,520143.6
5,14,14,3380618790.0200033,3387258553.3384356,6885362.5
5,14,16,6100683021.687299,6842847302.501243,910673540.0
5,14,18,3877565093.9812517,3886576448.7173085,9054838.0
5,14,20,1843467752.9564319,1844066746.5605443,598993.56
5,16,12,2050019388.5671647,2073034569.999196,27516148.0
5,16,14,8356695193.311774,8854521968.970114,596102500.0
5,16,16,105370954617.79427,864690601229.2925,860342700000.0
5,16,18,8699590470.506504,9296987611.669428,705784000.0
5,16,20,2302941678.5765724,2330137935.5141726,28798132.0
5,18,12,1794689733.1730828,1795101296.0221753,411563.12
5,18,14,3934022075.8337774,3938233319.1243014,4211399.5
5,18,16,5742164305.613172,6400385075.170394,757720960.0
5,18,18,3369587592.059009,3375908607.32886,6676323.5
5,18,20,1616980610.0905576,1617402395.2803547,421980.2
5,20,12,860077576.0610448,860110416.296953,32840.227
5,20,14,1011210622.2443154,1011592870.3051357,383024.66
5,20,16,1379915438.929023,1406663084.4136431,32138478.0
5,20,18,1173976163.045786,1174464444.3436067,490051.53
5,20,20,890817835.0269387,890855032.4823587,37197.47
6,12,12,914460031.4276389,914496811.2204304,36779.793
6,12,14,1305400486.5447977,1305748518.911716,348031.97
6,12,16,1371008969.766874,1404602268.4141164,34934500.0
6,12,18,1121833783.0478637,1122315762.9722438,486908.8
6,12,20,864430494.4008763,864465986.8574182,35492.453
6,14,12,1516750202.129848,1517270428.7001956,520226.72
6,14,14,3380617795.632529,3387258553.3384356,6886274.0
6,14,16,6101042125.142226,6842847302.501243,909283260.0
6,14,18,3877783984.7215476,3886576448.7173085,8836446.0
6,14,20,1843467630.8920252,1844066746.5605443,599115.94
6,16,12,2050011723.6922011,2073034569.999196,27525110.0
6,16,14,8356877573.217869,8854521968.970114,596492100.0
6,16,16,102428356393.79427,864690601229.2925,860440040000.0
6,16,18,8697475114.453594,9296987611.669428,706749200.0
6,16,20,2302919624.54013,2330137935.5141726,28821630.0
6,18,12,1794689730.4191208,1795101296.0221753,411565.72
6,18,14,3934020267.986033,3938233319.1243014,4213211.5
6,18,16,5742479056.1661,6400385075.170394,756454000.0
6,18,18,3369586744.2819023,3375908607.32886,6677119.5
6,18,20,1616980556.6695864,1617402395.2803547,422034.06
6,20,12,860077575.1850374,860110416.296953,32841.113
6,20,14,1011210611.6859671,1011592870.3051357,383036.12
6,20,16,1379910673.5318847,1406663084.4136431,32144334.0
6,20,18,1173976165.0671883,1174464444.3436067,490052.72
6,20,20,890817834.2271721,890855032.4823587,37198.273
7,12,12,914460030.1097738,914496811.2204304,36781.105
7,12,14,1305400470.040479,1305748518.911716,348048.53
7,12,16,1371003604.7712877,1404602268.4141164,34941292.0
7,12,18,1121833701.210382,1122315762.9722438,486989.16
7,12,20,864430491.3866186,864465986.8574182,35495.44
7,14,12,1516750100.6203923,1517270428.7001956,520327.9
7,14,14,3380616593.2307854,3387258553.3384356,6887382.5
7,14,16,6100235482.683023,6842847302.501243,909629800.0
7,14,18,3877984929.946077,3886576448.7173085,8636244.0
7,14,20,1843467481.1348672,1844066746.5605443,599265.06
7,16,12,2050002496.9125648,2073034569.999196,27535784.0
7,16,14,8356167208.474159,8854521968.970114,598346560.0
7,16,16,99012391077.27998,864690601229.2925,860576550000.0
7,16,18,8693847749.820004,9296987611.669428,709435460.0
