Iteracion,led_x,led_y,Diferencia,Data,Simuladas
1,6,6,328672928.04012275,328674570.5838822,1642.5442
1,6,8,348143530.3823628,348145706.20703024,2175.8254
1,6,10,338246886.5277241,338251870.5292859,4984.0015
1,6,12,375176681.039239,375187169.0638688,10488.04
1,6,14,370867521.15655535,371214082.6229665,358331.06
1,6,16,396353637.8040335,398242377.464428,2411341.2
1,6,18,350891508.6698947,351200355.55267185,308846.88
1,6,20,338095913.2210339,338105389.98365825,9476.77
1,6,22,311201527.7610652,311206594.2534992,5066.49
1,6,24,283022274.53995603,283024489.391471,2214.851
1,6,26,290645689.4691739,290647312.9827024,1623.5149
1,8,6,424765018.05291384,424767194.3137637,2176.2637
1,8,8,444222541.48630697,444225323.2262891,2781.7407
1,8,10,471267858.16201526,471273577.36910665,5719.202
1,8,12,560782072.2011458,560794541.7579709,12469.533
1,8,14,538032585.1475786,538354947.7955059,342205.22
1,8,16,575862093.6502529,579109190.0684261,3398142.2
1,8,18,465686097.58769584,466072883.3407086,388551.2
1,8,20,444137249.5837062,444149821.0047073,12571.414
1,8,22,408740386.95263875,408746484.5068406,6097.5586
1,8,24,418740057.9555906,418742900.9812238,2843.024
1,8,26,415329863.1689618,415332068.9269318,2205.7607
1,10,6,535926967.7651558,535932077.44686884,5127.5464
1,10,8,626154338.1382368,626160316.2480139,5978.108
1,10,10,855723250.388045,855734335.8549255,11085.482
1,10,12,952457477.5977213,952479218.1233642,21740.547
1,10,14,983814161.9616201,984210019.8567272,395857.75
1,10,16,1036703141.278591,1043104296.9386994,6639805.0
1,10,18,750076473.9419978,750581347.9158521,504958.62
1,10,20,692982033.7822529,693005185.6255932,23151.854
1,10,22,718793339.0151579,718805163.9316635,11824.92
1,10,24,671280037.4771162,671286152.953694,6115.4795
1,10,26,580722013.7673907,580727112.3110319,5098.535
1,12,6,740975285.3572186,740986636.2101434,11350.861
1,12,8,908047859.2030696,908061280.5105826,13421.3
1,12,10,1214825770.1007395,1214847676.8822675,21906.781
1,12,12,1533399055.7799177,1533459711.2593768,60655.473
1,12,14,1988499873.649931,1990389751.3108914,1896731.5
1,12,16,2415409111.53756,2433414771.240269,18220912.0
1,12,18,1804570243.8441124,1806176252.9835434,1606007.8
1,12,20,1502198114.7815633,1502248050.8705063,49936.14
1,12,22,1233217265.0225904,1233241683.8680649,24418.826
1,12,24,925996811.8223945,926009927.1645377,13115.351
1,12,26,739103140.4104582,739113364.1011336,10223.696
1,14,6,923511519.2033492,923987060.240725,509628.44
1,14,8,1110781675.1993484,1111323594.9013598,542374.6
1,14,10,1412517218.6577477,1413060628.598468,543410.1
1,14,12,2460385257.7863336,2462786805.308541,2401548.0
1,14,14,5289651406.173404,5314983572.47767,26523836.0
1,14,16,10862309309.338528,11749118358.77177,990772100.0
1,14,18,6459809243.657199,6502966080.668471,44237870.0
1,14,20,2896501413.49146,2898953127.194635,2452557.5
1,14,22,1652480868.1027431,1653080683.9100797,600730.5
1,14,24,1114718907.9699843,1115196348.3129127,481405.0
1,14,26,814968139.1573188,815366817.7359037,398677.8
1,16,6,933956861.2477064,940749325.5523566,6792872.0
1,16,8,1190950866.8880465,1200093820.6539075,9150984.0
1,16,10,1718608247.7431264,1734134354.615302,16267780.0
1,16,12,3463582653.5512757,3507628736.975707,44146930.0
1,16,14,11998499173.53647,13100967782.162106,1326913300.0
1,16,16,199107842698.61627,1699631967460.2434,1690657000000.0
1,16,18,13910647125.317064,15521329784.945288,1947213200.0
1,16,20,3387483957.927492,3429991399.001617,45790704.0
